

ESTACIÓN: Arnego_Ulla
CONCELLO: Agolada
PROVINCIA: Pontevedra

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      3          19/05/2009    Nivel Medio da Auga (m)                   118
      3          20/05/2009    Nivel Medio da Auga (m)                   116
      3          21/05/2009    Nivel Medio da Auga (m)                   115
      3          22/05/2009    Nivel Medio da Auga (m)                   114
      3          23/05/2009    Nivel Medio da Auga (m)                   118
      3          24/05/2009    Nivel Medio da Auga (m)                   128
      3          25/05/2009    Nivel Medio da Auga (m)                   127
      3          26/05/2009    Nivel Medio da Auga (m)                   127
      3          27/05/2009    Nivel Medio da Auga (m)                   121
      3          28/05/2009    Nivel Medio da Auga (m)                   119
      3          06/06/2009    Nivel Medio da Auga (m)                   118
      3          07/06/2009    Nivel Medio da Auga (m)                   121
      3          08/06/2009    Nivel Medio da Auga (m)                   13
      3          09/06/2009    Nivel Medio da Auga (m)                   14
      3          10/06/2009    Nivel Medio da Auga (m)                   147
      3          11/06/2009    Nivel Medio da Auga (m)                   135
      3          12/06/2009    Nivel Medio da Auga (m)                   128
      3          13/06/2009    Nivel Medio da Auga (m)                   125
      3          14/06/2009    Nivel Medio da Auga (m)                   123
      3          15/06/2009    Nivel Medio da Auga (m)                   121
      3          16/06/2009    Nivel Medio da Auga (m)                   12
      3          17/06/2009    Nivel Medio da Auga (m)                   119
      3          18/06/2009    Nivel Medio da Auga (m)                   117
      3          19/06/2009    Nivel Medio da Auga (m)                   116
      3          20/06/2009    Nivel Medio da Auga (m)                   115
      3          21/06/2009    Nivel Medio da Auga (m)                   114
      3          22/06/2009    Nivel Medio da Auga (m)                   113
      3          23/06/2009    Nivel Medio da Auga (m)                   112
      3          24/06/2009    Nivel Medio da Auga (m)                   113
      3          25/06/2009    Nivel Medio da Auga (m)                   113
      3          26/06/2009    Nivel Medio da Auga (m)                   114
      3          27/06/2009    Nivel Medio da Auga (m)                   113
      3          28/06/2009    Nivel Medio da Auga (m)                   113
      3          29/06/2009    Nivel Medio da Auga (m)                   112
      3          30/06/2009    Nivel Medio da Auga (m)                   111
      3          01/07/2009    Nivel Medio da Auga (m)                   11
      3          02/07/2009    Nivel Medio da Auga (m)                   109
      3          03/07/2009    Nivel Medio da Auga (m)                   109
      3          04/07/2009    Nivel Medio da Auga (m)                   109
      3          05/07/2009    Nivel Medio da Auga (m)                   108
