

ESTACIÓN: Ulla
CONCELLO: Santiso
PROVINCIA: A Coruña

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      9          11/06/2009    Nivel Medio da Auga (m)                   -9999
      3          12/06/2009    Nivel Medio da Auga (m)                   103
      3          13/06/2009    Nivel Medio da Auga (m)                   99
      3          14/06/2009    Nivel Medio da Auga (m)                   96
      3          15/06/2009    Nivel Medio da Auga (m)                   95
      3          16/06/2009    Nivel Medio da Auga (m)                   94
      3          17/06/2009    Nivel Medio da Auga (m)                   92
      1          18/06/2009    Nivel Medio da Auga (m)                   9
      3          19/06/2009    Nivel Medio da Auga (m)                   89
      3          20/06/2009    Nivel Medio da Auga (m)                   89
      3          21/06/2009    Nivel Medio da Auga (m)                   87
      3          22/06/2009    Nivel Medio da Auga (m)                   87
      3          23/06/2009    Nivel Medio da Auga (m)                   86
      3          24/06/2009    Nivel Medio da Auga (m)                   87
      3          25/06/2009    Nivel Medio da Auga (m)                   86
      3          26/06/2009    Nivel Medio da Auga (m)                   88
      3          27/06/2009    Nivel Medio da Auga (m)                   87
      3          28/06/2009    Nivel Medio da Auga (m)                   86
      3          29/06/2009    Nivel Medio da Auga (m)                   86
      3          30/06/2009    Nivel Medio da Auga (m)                   85
      3          01/07/2009    Nivel Medio da Auga (m)                   84
      3          02/07/2009    Nivel Medio da Auga (m)                   84
      3          03/07/2009    Nivel Medio da Auga (m)                   83
      3          04/07/2009    Nivel Medio da Auga (m)                   83
      3          05/07/2009    Nivel Medio da Auga (m)                   82
      3          06/07/2009    Nivel Medio da Auga (m)                   82
      3          07/07/2009    Nivel Medio da Auga (m)                   82
      3          08/07/2009    Nivel Medio da Auga (m)                   81
      1          09/07/2009    Nivel Medio da Auga (m)                   8
      3          10/07/2009    Nivel Medio da Auga (m)                   79
      3          11/07/2009    Nivel Medio da Auga (m)                   78
      3          12/07/2009    Nivel Medio da Auga (m)                   78
      3          13/07/2009    Nivel Medio da Auga (m)                   78
      3          14/07/2009    Nivel Medio da Auga (m)                   78
      3          15/07/2009    Nivel Medio da Auga (m)                   77
      3          16/07/2009    Nivel Medio da Auga (m)                   76
      3          17/07/2009    Nivel Medio da Auga (m)                   77
      3          18/07/2009    Nivel Medio da Auga (m)                   76
      3          19/07/2009    Nivel Medio da Auga (m)                   76
      3          20/07/2009    Nivel Medio da Auga (m)                   75
      3          21/07/2009    Nivel Medio da Auga (m)                   74
      3          22/07/2009    Nivel Medio da Auga (m)                   83
      3          23/07/2009    Nivel Medio da Auga (m)                   94
      3          24/07/2009    Nivel Medio da Auga (m)                   83
      3          25/07/2009    Nivel Medio da Auga (m)                   79
      3          26/07/2009    Nivel Medio da Auga (m)                   77
      3          27/07/2009    Nivel Medio da Auga (m)                   76
      3          28/07/2009    Nivel Medio da Auga (m)                   75
      3          29/07/2009    Nivel Medio da Auga (m)                   74
      3          30/07/2009    Nivel Medio da Auga (m)                   73
      3          31/07/2009    Nivel Medio da Auga (m)                   73
      3          01/08/2009    Nivel Medio da Auga (m)                   74
      3          02/08/2009    Nivel Medio da Auga (m)                   76
      3          03/08/2009    Nivel Medio da Auga (m)                   74
      3          04/08/2009    Nivel Medio da Auga (m)                   73
      3          05/08/2009    Nivel Medio da Auga (m)                   72
      3          06/08/2009    Nivel Medio da Auga (m)                   72
      3          07/08/2009    Nivel Medio da Auga (m)                   73
      3          08/08/2009    Nivel Medio da Auga (m)                   72
      3          09/08/2009    Nivel Medio da Auga (m)                   71
      1          10/08/2009    Nivel Medio da Auga (m)                   7
      1          11/08/2009    Nivel Medio da Auga (m)                   7
      3          12/08/2009    Nivel Medio da Auga (m)                   68
      3          13/08/2009    Nivel Medio da Auga (m)                   68
      3          14/08/2009    Nivel Medio da Auga (m)                   67
      3          15/08/2009    Nivel Medio da Auga (m)                   67
      3          16/08/2009    Nivel Medio da Auga (m)                   65
      3          17/08/2009    Nivel Medio da Auga (m)                   65
      3          18/08/2009    Nivel Medio da Auga (m)                   65
      3          19/08/2009    Nivel Medio da Auga (m)                   64
      3          20/08/2009    Nivel Medio da Auga (m)                   64
      3          21/08/2009    Nivel Medio da Auga (m)                   65
      3          22/08/2009    Nivel Medio da Auga (m)                   65
      3          23/08/2009    Nivel Medio da Auga (m)                   64
      3          24/08/2009    Nivel Medio da Auga (m)                   63
      3          25/08/2009    Nivel Medio da Auga (m)                   64
      3          26/08/2009    Nivel Medio da Auga (m)                   64
      3          27/08/2009    Nivel Medio da Auga (m)                   64
      3          28/08/2009    Nivel Medio da Auga (m)                   64
      3          29/08/2009    Nivel Medio da Auga (m)                   63
      3          30/08/2009    Nivel Medio da Auga (m)                   63
      3          31/08/2009    Nivel Medio da Auga (m)                   62
      3          01/09/2009    Nivel Medio da Auga (m)                   62
      3          02/09/2009    Nivel Medio da Auga (m)                   61
      3          03/09/2009    Nivel Medio da Auga (m)                   61
      1          04/09/2009    Nivel Medio da Auga (m)                   0,6
      1          05/09/2009    Nivel Medio da Auga (m)                   0,6
      1          06/09/2009    Nivel Medio da Auga (m)                   0,6
      1          07/09/2009    Nivel Medio da Auga (m)                   0,6
      1          08/09/2009    Nivel Medio da Auga (m)                   0,6
      1          09/09/2009    Nivel Medio da Auga (m)                   0,6
      1          10/09/2009    Nivel Medio da Auga (m)                   0,6
      9          11/09/2009    Nivel Medio da Auga (m)                   -9999
      9          12/09/2009    Nivel Medio da Auga (m)                   -9999
      9          13/09/2009    Nivel Medio da Auga (m)                   -9999
      9          14/09/2009    Nivel Medio da Auga (m)                   -9999
      1          15/09/2009    Nivel Medio da Auga (m)                   0,6
      1          16/09/2009    Nivel Medio da Auga (m)                   0,6
      1          17/09/2009    Nivel Medio da Auga (m)                   0,6
      1          18/09/2009    Nivel Medio da Auga (m)                   0,6
      1          19/09/2009    Nivel Medio da Auga (m)                   0,6
      1          20/09/2009    Nivel Medio da Auga (m)                   0,6
      1          21/09/2009    Nivel Medio da Auga (m)                   0,6
      1          22/09/2009    Nivel Medio da Auga (m)                   0,6
      1          23/09/2009    Nivel Medio da Auga (m)                   0,6
      1          24/09/2009    Nivel Medio da Auga (m)                   0,6
      1          25/09/2009    Nivel Medio da Auga (m)                   0,6
      1          26/09/2009    Nivel Medio da Auga (m)                   0,6
      1          27/09/2009    Nivel Medio da Auga (m)                   0,6
      1          28/09/2009    Nivel Medio da Auga (m)                   0,6
      1          29/09/2009    Nivel Medio da Auga (m)                   0,6
      1          30/09/2009    Nivel Medio da Auga (m)                   0,6
      1          01/10/2009    Nivel Medio da Auga (m)                   0,6
      1          02/10/2009    Nivel Medio da Auga (m)                   0,6
      1          03/10/2009    Nivel Medio da Auga (m)                   0,6
      1          04/10/2009    Nivel Medio da Auga (m)                   0,6
      1          05/10/2009    Nivel Medio da Auga (m)                   0,7
      1          06/10/2009    Nivel Medio da Auga (m)                   0,8
      1          07/10/2009    Nivel Medio da Auga (m)                   0,7
