146.47;3.14;4.14;5.14;3.14
146.46;3.13;4.13;5.13;3.13
146.45;3.13;4.13;5.13;3.13
146.42;3.12;4.12;5.12;3.12
146.41;3.11;4.11;5.11;3.11
146.4;3.11;4.11;5.11;3.11
146.39;3.1;4.1;5.1;3.1
146.36;3.09;4.09;5.09;3.09
146.34;3.08;4.08;5.08;3.08
146.32;3.08;4.08;5.08;3.08
146.3;3.07;4.07;5.07;3.07
146.22;3.04;4.04;5.04;3.04
146.19;3.02;4.02;5.02;3.02
146.18;3.02;4.02;5.02;3.02
146.17;3.01;4.01;5.01;3.01
146.16;3.01;4.01;5.01;3.01
146.09;2.98;3.98;4.98;2.98
146.05;2.96;3.96;4.96;2.96
146.04;2.96;3.96;4.96;2.96
145.93;2.92;3.92;4.92;2.92
145.87;2.9;3.9;4.9;2.9
145.81;2.87;3.87;4.87;2.87
145.8;2.87;3.87;4.87;2.87
145.72;2.84;3.84;4.84;2.84
145.5;2.76;3.76;4.76;2.76
145.16;2.63;3.63;4.63;2.63
145.14;2.62;3.62;4.62;2.62
145.12;2.61;3.61;4.61;2.61
145.08;2.6;3.6;4.6;2.6
145.05;2.59;3.59;4.59;2.59
145.02;2.57;3.57;4.57;2.57
145.01;2.57;3.57;4.57;2.57
145;2.57;3.57;4.57;2.57
144.99;2.57;3.57;4.57;2.57
144.98;2.56;3.56;4.56;2.56
144.97;2.56;3.56;4.56;2.56
144.94;2.56;3.56;4.56;2.56
144.7;2.51;3.51;4.51;2.51
143;2.212;2.212;2.212;2.212
142;1.956;1.956;1.956;1.956
141;1.72;1.72;1.72;1.72
140;1.505;1.505;1.505;1.505
139;1.303;1.303;1.303;1.303
138;1.115;1.115;1.115;1.115
137;0.941;0.941;0.941;0.941
136;0.787;0.787;0.787;0.787
135;0.652;0.652;0.652;0.652
134;0.531;0.531;0.531;0.531
133;0.422;0.422;0.422;0.422
132;0.328;0.328;0.328;0.328
131;0.249;0.249;0.249;0.249
130;0.181;0.181;0.181;0.181
129;0.122;0.122;0.122;0.122
128;0.075;0.075;0.075;0.075
127;0.041;0.041;0.041;0.041
126;0.015;0.015;0.015;0.015
