"Instante lectura,""Irradiación global diaria""";
"2013-03-14 00:00:00.0,""944.0""";
"2013-03-15 00:00:00.0,""1724.0""";
"2013-03-16 00:00:00.0,""207.0""";
"2013-03-17 00:00:00.0,""1361.0""";
"2013-03-18 00:00:00.0,""913.0""";
"2013-03-19 00:00:00.0,""920.0""";
"2013-03-20 00:00:00.0,""1506.0""";
"2013-03-21 00:00:00.0,""1224.0""";
"2013-03-22 00:00:00.0,""1041.0""";
"2013-03-23 00:00:00.0,""985.0""";
"2013-03-24 00:00:00.0,""705.0""";
"2013-03-25 00:00:00.0,""269.0""";
"2013-03-26 00:00:00.0,""487.0""";
"2013-03-27 00:00:00.0,""540.0""";
"2013-03-28 00:00:00.0,""455.0""";
"2013-03-29 00:00:00.0,""304.0""";
"2013-03-30 00:00:00.0,""1569.0""";
"2013-03-31 00:00:00.0,""1069.0""";
"2013-04-01 00:00:00.0,""851.0""";
"2013-04-02 00:00:00.0,""1209.0""";
"2013-04-03 00:00:00.0,""521.0""";
"2013-04-04 00:00:00.0,""846.0""";
"2013-04-05 00:00:00.0,""1046.0""";
"2013-04-06 00:00:00.0,""1528.0""";
"2013-04-07 00:00:00.0,""404.0""";
"2013-04-08 00:00:00.0,""383.0""";
"2013-04-09 00:00:00.0,""436.0""";
"2013-04-10 00:00:00.0,""379.0""";
"2013-04-11 00:00:00.0,""991.0""";
"2013-04-12 00:00:00.0,""1113.0""";
"2013-04-13 00:00:00.0,""1805.0""";
"2013-04-14 00:00:00.0,""2286.0""";
"2013-04-15 00:00:00.0,""2374.0""";
"2013-04-16 00:00:00.0,""2488.0""";
"2013-04-17 00:00:00.0,""2591.0""";
"2013-04-18 00:00:00.0,""2185.0""";
"2013-04-19 00:00:00.0,""2659.0""";
"2013-04-20 00:00:00.0,""2504.0""";
"2013-04-21 00:00:00.0,""2439.0""";
"2013-04-22 00:00:00.0,""2329.0""";
"2013-04-23 00:00:00.0,""2644.0""";
"2013-04-24 00:00:00.0,""2168.0""";
"2013-04-25 00:00:00.0,""2407.0""";
"2013-04-26 00:00:00.0,""887.0""";
"2013-04-27 00:00:00.0,""1687.0""";
"2013-04-28 00:00:00.0,""1430.0""";
"2013-04-29 00:00:00.0,""2684.0""";
"2013-04-30 00:00:00.0,""710.0""";
"2013-05-01 00:00:00.0,""538.0""";
"2013-05-02 00:00:00.0,""2752.0""";
"2013-05-03 00:00:00.0,""2724.0""";
"2013-05-04 00:00:00.0,""2618.0""";
"2013-05-05 00:00:00.0,""2732.0""";
"2013-05-06 00:00:00.0,""745.0""";
"2013-05-07 00:00:00.0,""666.0""";
"2013-05-08 00:00:00.0,""1198.0""";
"2013-05-09 00:00:00.0,""753.0""";
"2013-05-10 00:00:00.0,""2922.0""";
"2013-05-11 00:00:00.0,""2651.0""";
"2013-05-12 00:00:00.0,""2918.0""";
"2013-05-13 00:00:00.0,""2874.0""";
"2013-05-14 00:00:00.0,""1814.0""";
"2013-05-15 00:00:00.0,""1802.0""";
"2013-05-16 00:00:00.0,""623.0""";
"2013-05-17 00:00:00.0,""1126.0""";
"2013-05-18 00:00:00.0,""1157.0""";
"2013-05-19 00:00:00.0,""1168.0""";
"2013-05-20 00:00:00.0,""2617.0""";
"2013-05-21 00:00:00.0,""2928.0""";
"2013-05-22 00:00:00.0,""2781.0""";
"2013-05-23 00:00:00.0,""2952.0""";
"2013-05-24 00:00:00.0,""3067.0""";
"2013-05-25 00:00:00.0,""3071.0""";
"2013-05-26 00:00:00.0,""1629.0""";
"2013-05-27 00:00:00.0,""2237.0""";
"2013-05-28 00:00:00.0,""1443.0""";
"2013-05-29 00:00:00.0,""507.0""";
"2013-05-30 00:00:00.0,""1134.0""";
"2013-05-31 00:00:00.0,""2708.0""";
"2013-06-01 00:00:00.0,""2673.0""";
"2013-06-02 00:00:00.0,""2882.0""";
"2013-06-03 00:00:00.0,""3102.0""";
"2013-06-04 00:00:00.0,""3033.0""";
"2013-06-05 00:00:00.0,""2885.0""";
"2013-06-06 00:00:00.0,""1495.0""";
"2013-06-07 00:00:00.0,""1270.0""";
"2013-06-08 00:00:00.0,""422.0""";
"2013-06-09 00:00:00.0,""918.0""";
"2013-06-10 00:00:00.0,""913.0""";
"2013-06-11 00:00:00.0,""1726.0""";
"2013-06-12 00:00:00.0,""3068.0""";
"2013-06-13 00:00:00.0,""1663.0""";
"2013-06-14 00:00:00.0,""3104.0""";
"2013-06-15 00:00:00.0,""3040.0""";
"2013-06-16 00:00:00.0,""1445.0""";
"2013-06-17 00:00:00.0,""832.0""";
"2013-06-18 00:00:00.0,""1384.0""";
"2013-06-19 00:00:00.0,""370.0""";
"2013-06-20 00:00:00.0,""1581.0""";
"2013-06-21 00:00:00.0,""1939.0""";
"2013-06-22 00:00:00.0,""2416.0""";
"2013-06-23 00:00:00.0,""3012.0""";
"2013-06-24 00:00:00.0,""3161.0""";
"2013-06-25 00:00:00.0,""3135.0""";
"2013-06-26 00:00:00.0,""3073.0""";
"2013-06-27 00:00:00.0,""2958.0""";
"2013-06-28 00:00:00.0,""3035.0""";
"2013-06-29 00:00:00.0,""3121.0""";
"2013-06-30 00:00:00.0,""2989.0""";
"2013-07-01 00:00:00.0,""2330.0""";
"2013-07-02 00:00:00.0,""2673.0""";
"2013-07-03 00:00:00.0,""2948.0""";
"2013-07-04 00:00:00.0,""3072.0""";
"2013-07-05 00:00:00.0,""3048.0""";
"2013-07-06 00:00:00.0,""2950.0""";
"2013-07-07 00:00:00.0,""2909.0""";
"2013-07-08 00:00:00.0,""2943.0""";
"2013-07-09 00:00:00.0,""2720.0""";
"2013-07-10 00:00:00.0,""2849.0""";
"2013-07-11 00:00:00.0,""2576.0""";
"2013-07-12 00:00:00.0,""2795.0""";
"2013-07-13 00:00:00.0,""2457.0""";
"2013-07-14 00:00:00.0,""2765.0""";
"2013-07-15 00:00:00.0,""2473.0""";
"2013-07-16 00:00:00.0,""1884.0""";
"2013-07-17 00:00:00.0,""2459.0""";
"2013-07-18 00:00:00.0,""2555.0""";
"2013-07-19 00:00:00.0,""2172.0""";
"2013-07-20 00:00:00.0,""2713.0""";
"2013-07-21 00:00:00.0,""2784.0""";
"2013-07-22 00:00:00.0,""1847.0""";
"2013-07-23 00:00:00.0,""2301.0""";
"2013-07-24 00:00:00.0,""2319.0""";
"2013-07-25 00:00:00.0,""1740.0""";
"2013-07-26 00:00:00.0,""2057.0""";
"2013-07-27 00:00:00.0,""1662.0""";
"2013-07-28 00:00:00.0,""779.0""";
"2013-07-29 00:00:00.0,""1513.0""";
"2013-07-30 00:00:00.0,""2821.0""";
"2013-07-31 00:00:00.0,""2806.0""";
